[ 0.85612093  0.02627899]
[-0.46529262  3.64951926]
[-0.43932752  0.78298809]
[ 0.03351299  0.96999485]
[-0.36145665  1.26929922]
[ 0.64532427  0.7233949 ]
[ 0.88047857  2.12745547]
[-0.73765795  3.45835956]
[-0.92089902  0.80405918]
[-0.60466518  1.00155703]
[ 0.07626657  1.28373563]
[ 0.42285214  0.60103528]
[ 0.75726999  2.59979672]
[-0.28031999  0.96630625]
[ 0.99665871  1.15578372]
[ 0.14152252  4.97770114]
[-0.77691314  1.62330639]
[ 0.39730434  0.79584596]
[-0.12446953  1.31540785]
[ 0.26931222  1.99750445]
[-0.62431092  1.13229389]
[ 0.05704218  2.23768144]
[ 0.96586973  4.7014031 ]
[-0.4657149   4.02539259]
[-0.30977335  1.87895946]
[-0.01679998  3.59273865]
[-0.86852525  3.96373595]
[ 0.96343769  4.35876182]
[ 0.13164096  0.36317725]
[ 0.34748741  2.10081894]
[-0.11159147  0.41362319]
[ 0.5279463   2.36906364]
[ 0.5545097   4.37398628]
[-0.27174411  1.82638628]
[ 0.40809967  4.42440977]
[-0.37876984  0.02343284]
[ 0.02044936  4.59776258]
[-0.93325967  0.97368499]
[ 0.19713637  3.60917609]
[-0.12589996  1.79989383]
[-0.1575958   3.61459683]
[-0.61276592  3.4810537 ]
[ 0.31972482  0.78998999]
[ 0.72501195  2.67506363]
[ 0.83352132  3.88889202]
[-0.65108042  0.54592148]
[ 0.16298304  2.35294155]
[ 0.9861328   4.92831938]
[-0.3489495   1.06094684]
[-0.96116656  0.52562168]
[-0.13544039  1.18581156]
[-0.25266171  2.38959836]
[ 0.03410387  0.93552223]
[ 0.85331883  1.87009045]
[-0.28125122  3.91989023]
[ 0.34085413  2.13131002]
[ 0.32287151  1.2828805 ]
[ 0.43137713  3.34636662]
[-0.42063758  1.16877392]
[ 0.83098319  0.44440873]
[-0.78929313  3.80986543]
[-0.71685372  3.24360941]
[ 0.89353019  3.2225133 ]
[-0.28414295  2.90545739]
[-0.63282623  0.51952529]
[-0.25120862  3.85115585]
[-0.80394701  3.67212423]
[ 0.31745286  4.15449199]
[ 0.52953326  0.61306666]
[-0.61999241  0.82897105]
[ 0.26515147  1.20942609]
[ 0.70341359  4.63311139]
[-0.39901882  0.8484408 ]
[-0.87475396  2.42749893]
[ 0.98355534  4.20883953]
[-0.16887573  0.44442695]
[ 0.96246608  3.80390391]
[ 0.32488172  0.88829848]
[ 0.52858961  1.95696656]
[-0.74931778  3.58771451]
[ 0.29615381  3.65564499]
[-0.04334695  2.28885592]
[-0.37188438  1.44153414]
[ 0.88950723  3.27801815]
[ 0.56905419  2.74210301]
[-0.83207108  2.43260406]
[ 0.57728873  0.99254073]
[-0.4952794   2.97108871]
[-0.14761046  4.54872672]
[ 0.58825877  0.8116366 ]
[ 0.94395949  0.34793607]
[-0.78810454  2.46227333]
[-0.58152883  4.99608554]
[ 0.34637257  0.0940298 ]
[-0.32829114  4.98936661]
[-0.2996739   0.17205293]
[ 0.61890121  2.65554659]
[-0.3877624  2.8809411]
[-0.78315933  2.38629241]
[-0.97062009  3.24101955]
[-0.69877355  0.71130505]
[-0.81742325  0.47153623]
[-0.67481296  3.2070058 ]
[ 0.26694701  2.56141366]
[-0.5048971   4.90358578]
[ 0.39599355  4.03923137]
[-0.6168471  1.7729437]
[ 0.90263643  2.94320224]
[-0.56975586  2.50000696]
[ 0.72628958  2.52106384]
[-0.14196257  2.69341048]
[-0.91566122  1.28328065]
[ 0.87521074  3.31524474]
[-0.0790366   0.09320692]
[-0.69870613  4.84575483]
[-0.1531679   4.63536137]
[-0.4396413   4.38711929]
[-0.07618064  0.3900442 ]
[ 0.37196732  2.85440345]
[ 0.17150647  4.54554808]
[-0.85181735  2.82847303]
[ 0.77647373  1.03783207]
[-0.08715252  4.08333666]
[-0.50982824  1.78243468]
[ 0.82072102  3.55066151]
[-0.5279505   1.04367451]
[ 0.14280221  1.50811517]
[-0.25123286  1.66382537]
[-0.27407495  3.02780923]
[-0.14128141  2.6464189 ]
[-0.11196515  3.38129722]
[-0.92211435  4.40350992]
[ 0.56054776  2.80699904]
[-0.31601062  1.96371247]
[ 0.17342403  0.88486697]
[ 0.42435382  2.18409962]
[ 0.35052664  1.76935359]
[ 0.08225648  0.50683568]
[-0.26623167  0.66953306]
[-0.78803026  0.50839128]
[-0.56854841  4.88335478]
[-0.24958246  1.73539668]
[-0.91935738  1.67106577]
[-0.45329091  0.03523931]
[ 0.1723129   1.13163915]
[-0.25839221  1.84229355]
[ 0.94212836  1.86407516]
[-0.69914312  2.19056618]
[ 0.11386516  0.05444685]
[-0.26744661  0.92442583]
[ 0.3923405   0.92186755]
[-0.52607462  2.9525556 ]
[ 0.43443414  1.79159394]
[ 0.25839364  0.10580537]
[ 0.72830471  4.66323529]
[ 0.99799827  0.34996327]
[ 0.12512755  2.67232416]
[ 0.18089178  1.50711546]
[ 0.89026595  2.19138966]
[ 0.86500423  2.58070612]
[-0.0813265   3.20100449]
[ 0.22591653  4.900187  ]
[ 0.6645341   0.50468755]
[-0.12800865  3.38322474]
[ 0.64151045  0.47392223]
[ 0.70746317  3.11907487]
[-0.97590364  4.01224234]
[ 0.89907945  4.89008774]
[ 0.58416171  0.460977  ]
