[-0.82903781  0.50313326]
[ 0.38683952  1.9483421 ]
[-0.93852588  1.95887625]
[ 0.74004896  4.67703921]
[ 0.04554766  0.03163624]
[ 0.10842187  4.81739158]
[-0.5004417   2.29836279]
[ 0.98892987  0.43377041]
[-0.60104153  1.17467051]
[-0.50188793  2.59905465]
[-0.79383849  3.23349982]
[-0.31404147  3.29371537]
[-0.98202286  1.27744452]
[-0.06049376  2.89463107]
[-0.61690403  3.02639898]
[ 0.50047011  1.55364473]
[ 0.69355572  3.47346371]
[ 0.01910921  0.97989731]
[-0.53652584  0.61030873]
[ 0.29083693  4.3477568 ]
[-0.78278254  1.4187313 ]
[-0.43050713  1.70658065]
[-0.51540643  0.4254656 ]
[ 0.68523687  4.99100783]
[ 0.69897477  0.86664129]
[-0.99431728  4.52631524]
[-0.69985632  4.93704559]
[-0.86377459  4.21998445]
[ 0.50447274  0.27122346]
[-0.11280948  0.54287959]
[-0.40645849  4.99032306]
[ 0.68521703  3.45707324]
[-0.5410576   3.93133605]
[-0.42998791  2.65787413]
[ 0.95417388  2.97250992]
[-0.25243182  3.55539944]
[-0.70087139  4.36904939]
[-0.06958957  4.79123094]
[-0.33433987  0.41749401]
[-0.34683951  2.27170681]
[ 0.13492268  4.25936116]
[-0.15414503  3.03471756]
[ 0.94756005  2.21592856]
[-0.33309342  3.8215681 ]
[ 0.54475551  4.97483238]
[-0.52718563  4.19626929]
[ 0.3994497   3.88227131]
[-0.38816324  1.19762631]
[ 0.79520864  4.33772715]
[ 0.88714922  1.86356363]
[-0.23774559  2.51979926]
[-0.78367509  1.12344361]
[ 0.71593754  1.09339466]
[ 0.28779504  3.19920718]
[ 0.71830091  1.09728615]
[ 0.78715935  4.64307628]
[-0.11928564  0.95060038]
[ 0.58188112  1.10201125]
[-0.36133166  3.19478168]
[-0.16402935  1.80247768]
[-0.28998418  1.78524481]
[-0.52208271  1.12875136]
[ 0.7175142   0.22419518]
[-0.64933501  3.05719778]
[ 0.19949324  4.02885209]
[-0.83411417  4.01016691]
[-0.25221833  3.52454068]
[-0.81052749  1.08620608]
[-0.48769096  2.02692474]
[ 0.44235712  2.42916033]
[ 0.91112794  2.86272776]
[-0.59786874  1.59770486]
[-0.81530004  3.62269224]
[-0.97368079  4.11436059]
[-0.38860528  3.39234493]
[ 0.96710932  4.16130197]
[-0.94538731  4.79250144]
[ 0.7491259   4.88174611]
[-0.87606277  2.43778618]
[-0.74423323  0.93339287]
[ 0.95560752  3.08658157]
[-0.00645236  0.15526796]
[-0.747077    4.47679008]
[ 0.07155939  4.53788273]
[-0.91747663  3.04206357]
[ 0.75281699  4.7784494 ]
[-0.64117418  3.44449904]
[ 0.75076706  3.35500294]
[-0.50150524  4.91126514]
[ 0.1218588   2.27328885]
[-0.326985    1.56751499]
[-0.50234887  3.62681442]
[-0.50356374  1.47862172]
[ 0.20551248  3.8284318 ]
[-0.36488064  2.77851682]
[-0.68801061  1.84408751]
[ 0.52228905  3.43429083]
[-0.99079722  0.38697996]
[ 0.92205443  2.18740409]
[-0.41133213  3.57002187]
[ 0.53769115  4.80065788]
[ 0.28915856  1.52507374]
[-0.16703186  1.01135587]
[-0.75947012  4.54344498]
[-0.33918146  2.63098726]
[ 0.5198981   3.67880486]
[-0.49246269  2.71930036]
[ 0.97173387  4.46231797]
[ 0.23375335  4.81111536]
[ 0.31282314  3.28988373]
[ 0.27252045  1.70258829]
[ 0.09430515  1.22103716]
[-0.72539399  0.3129005 ]
[-0.1900252   0.66681571]
[ 0.25419238  1.24770348]
[ 0.76085684  3.58920761]
[ 0.06082035  4.24524243]
[-0.25878119  3.18977227]
[  2.05692110e-03   2.18186368e+00]
[-0.09323011  0.2604418 ]
[ 0.46444833  3.35794225]
[-0.41817413  1.05930198]
[-0.83975519  3.23094618]
[ 0.88772016  2.00847415]
[ 0.2965462   4.28714661]
[-0.21754216  4.51786526]
[-0.02338068  0.78572698]
[ 0.52385835  2.8507748 ]
[ 0.87991584  1.85187795]
[-0.48170675  3.20281162]
[ 0.57724225  1.33936352]
[ 0.1521337   2.32973107]
[ 0.08634161  3.23380236]
[ 0.81929874  3.07642079]
[ 0.94310164  4.41068693]
[-0.63297251  0.74037412]
[ 0.1681768   1.75942179]
[ 0.43265322  3.33147939]
[-0.53483428  0.73541694]
