[ 3.66228144  1.88282525]
[ 1.21147217  1.95781993]
[ 1.01493907  0.95289052]
[ 1.57192198  1.38167275]
[ 1.36451096  1.96562478]
[ 1.31843884  1.05176368]
[ 1.56026466  1.64839709]
[ 1.43668246  1.76369908]
[ 1.00708921  0.91478026]
[ 1.50615502  1.38670727]
[ 1.09794081  1.00641426]
[ 1.26966934  1.99956489]
[ 1.46040644  1.17620509]
[ 1.20104983  1.00315567]
[ 1.56675041  1.63166668]
[ 1.45197278  1.24659755]
[ 1.16990103  0.94552053]
[ 1.5004484  1.571076 ]
[ 1.29793326  1.03610265]
[ 1.53384552  1.59868358]
[ 1.50800056  1.35009122]
[ 1.46323528  1.30833182]
[ 1.47496475  1.14393807]
[ 1.00495598  2.09909085]
[ 1.27565285  0.99187969]
[ 1.42483212  1.1842818 ]
[ 1.12783125  2.02639558]
[ 1.19308907  1.02047108]
[ 1.2161448   1.04669425]
[ 1.39850391  1.06442328]
[ 1.55151546  1.53595569]
[ 1.38604182  1.04692696]
[ 1.43972438  1.1406281 ]
[ 0.1342033   2.01417654]
[ 0.32015989  2.0271237 ]
[ 0.77510646  2.00973179]
[ 0.13855858  2.06438559]
[ 0.22384966  2.05809072]
[ 0.3255515  2.0094507]
[ 0.07879554  2.05321038]
[ 0.88081228  2.04505636]
[ 0.69890964  2.0641495 ]
[ 0.70960905  2.01033293]
[ 0.4320157   2.06820052]
[ 0.12427349  2.029557  ]
[ 0.62058873  2.06499928]
[ 0.30374012  2.04129597]
[ 0.42466588  2.08328545]
[ 0.95728658  2.054248  ]
[ 0.0211797   2.06773625]
[ 0.09435738  2.02625753]
[ 0.75720031  2.06239074]
[ 0.46825574  2.0819986 ]
[ 0.45556665  1.04076168]
[ 0.47294207  1.09234155]
[ 0.53177558  1.04353231]
[ 0.72976227  1.00108518]
[ 0.17907887  1.07810423]
[ 0.28039254  1.03771153]
[ 0.43142187  1.01113816]
[ 0.27952625  1.02117015]
[ 0.34552298  1.09369642]
[ 0.04846021  1.05201627]
[ 0.82204329  1.02483309]
[ 0.73034488  1.05905412]
[ 0.48262743  1.00177296]
[ 0.80353992  1.05780138]
[ 0.83373623  1.01214287]
[ 0.28714142  1.01414541]
[ 0.78293667  1.07733423]
[ 0.13277833  1.04573735]
[ 0.2758645  1.084114 ]
[ 0.51627327  1.09242432]
[ 0.0347995   1.09479748]
[ 0.05429381  0.06667582]
[ 0.00665449  1.9326485 ]
[ 0.09721854  1.13035306]
[ 0.09140081  0.23112948]
[ 0.00980739  0.29007145]
[ 0.04863787  0.14763933]
[ 0.00674381  1.23068805]
[ 0.01354582  1.65077889]
[ 0.0888227   1.19432334]
[ 0.06613656  1.65504953]
[ 0.07948742  1.07624899]
[ 0.03862124  1.28983298]
[ 0.04225376  1.30308531]
[ 0.02452456  1.4094754 ]
[ 0.09307773  1.2942349 ]
[ 0.04335245  0.31089084]
[ 0.01740583  1.39987872]
[ 0.01377271  1.96348314]
[ 0.00297133  0.67575726]
[  1.16662609e-03   1.56008466e+00]
[ 0.06796094  0.18739618]
[ 0.03251325  0.50494877]
[ 0.08698659  1.20211304]
[ 0.07891844  0.46861807]
[ 0.01353963  1.9789136 ]
[ 0.08896498  0.8772327 ]
[ 0.05451388  0.48469814]
[ 0.09539866  0.38090965]
[ 0.04520319  1.10140703]
[ 0.05664663  0.2750402 ]
[  3.75750299e-04   7.32797096e-01]
[ 0.06102753  0.00688347]
[ 0.00219899  1.60379414]
[ 0.06343371  0.42917579]
[ 0.06710326  1.81075342]
[ 0.03843439  0.51252169]
[ 0.02202102  0.06997905]
[ 0.07177518  1.18784183]
[ 0.05680945  1.30599117]
[ 1.29393757  0.14527902]
[ 1.22671746  0.33718519]
[ 1.18704682  0.60837613]
[ 0.99583904  0.99045811]
[ 1.22583337  0.39111945]
[ 1.24513509  0.27421221]
[ 1.26336146  0.10923216]
[ 1.33664985  0.12142881]
[ 1.29907748  0.2095071 ]
[ 1.283899    0.47231986]
[ 1.29464609  0.00739895]
[ 1.03934072  0.99982938]
[ 1.06440026  1.01553076]
[ 1.28036878  0.16687694]
[ 1.08924699  0.96132864]
[ 1.28267202  0.19063402]
[  1.28074442e+00   1.19509625e-03]
[ 1.22273929  0.62646185]
[ 1.19620822  0.68807375]
[ 1.23368806  0.33441167]
[ 1.23787126  0.58952725]
[ 1.15166635  0.88788189]
[ 1.1295584  0.7755694]
[ 1.20597152  0.63312978]
[ 1.33661937  0.04509477]
[ 1.14805353  0.69296325]
[ 1.0337609   0.93267498]
[ 1.04313863  1.03448078]
[ 1.2526906   0.56272752]
[ 1.27449128  0.16031889]
[ 1.30872298  0.24075204]
[ 1.29211547  0.22571101]
[ 1.2519403   0.12829935]
[ 1.07605119  0.83829025]
[ 1.20846665  0.53512966]
[ 1.06910393  0.97378064]
[ 1.23323223  0.46592778]
[ 1.11116759  0.7764625 ]
[ 1.18147371  0.72625709]
[ 1.25255935  0.03657243]
